edge_id,panel_id,panel_type,zone,first_batch,edge_index,node_a,node_b,edge_length_mm,matching_panel_ids,matching_edge_indexes,matching_zones,match_count,candidate_boundary
E161,TRI040,triangle,back,yes,2,P071,P072,63.22,TRI065,2,back,1,no
E023,TRI040,triangle,back,yes,3,P072,P031,50.71,MANQ007-B,3,bottom,1,no
E152,TRI041,triangle,left_cheek,yes,1,P033,P039,53.56,TRI032,2,center_face,1,no
E162,TRI041,triangle,left_cheek,yes,2,P039,P048,32.06,TRI046,3,left_cheek,1,no
E163,TRI041,triangle,left_cheek,yes,3,P048,P033,26.38,TRI042,3,left_cheek,1,no
E079,TRI042,triangle,left_cheek,yes,1,P033,P044,14.74,QUAD022-B,3,left_cheek,1,no
E164,TRI042,triangle,left_cheek,yes,2,P044,P048,28.6,,,,0,yes
E163,TRI042,triangle,left_cheek,yes,3,P048,P033,26.38,TRI041,3,left_cheek,1,no
E165,TRI043,triangle,ear_or_outer_top,yes,1,P037,P038,92.83,,,,0,yes
E166,TRI043,triangle,ear_or_outer_top,yes,2,P038,P053,19.77,,,,0,yes
E167,TRI043,triangle,ear_or_outer_top,yes,3,P053,P037,82.17,TRI044,1,ear_or_outer_top,1,no
E167,TRI044,triangle,ear_or_outer_top,yes,1,P037,P053,82.17,TRI043,3,ear_or_outer_top,1,no
E009,TRI044,triangle,ear_or_outer_top,yes,2,P053,P054,17.76,MANQ002-B,2,forehead,1,no
E168,TRI044,triangle,ear_or_outer_top,yes,3,P054,P037,79.28,TRI045,1,ear_or_outer_top,1,no
E168,TRI045,triangle,ear_or_outer_top,yes,1,P037,P054,79.28,TRI044,3,ear_or_outer_top,1,no
E108,TRI045,triangle,ear_or_outer_top,yes,2,P054,P066,44.88,QUAD035-B,2,left_cheek,1,no
E089,TRI045,triangle,ear_or_outer_top,yes,3,P066,P037,92.39,QUAD025-B,3,ear_or_outer_top,1,no
E169,TRI046,triangle,left_cheek,yes,1,P039,P045,47.8,TRI047,1,left_cheek,1,no
E170,TRI046,triangle,left_cheek,yes,2,P045,P048,43.37,,,,0,yes
E162,TRI046,triangle,left_cheek,yes,3,P048,P039,32.06,TRI041,2,left_cheek,1,no
E169,TRI047,triangle,left_cheek,yes,1,P039,P045,47.8,TRI046,1,left_cheek,1,no
E171,TRI047,triangle,left_cheek,yes,2,P045,P053,66.7,TRI055,3,left_cheek,1,no
E139,TRI047,triangle,left_cheek,yes,3,P053,P039,53.36,TRI019,2,forehead,1,no
E044,TRI048,triangle,left_cheek,yes,1,P040,P041,24.61,QUAD005-A,2,left_cheek,1,no
E172,TRI048,triangle,left_cheek,yes,2,P041,P044,44.96,TRI049,3,left_cheek,1,no
E078,TRI048,triangle,left_cheek,yes,3,P044,P040,39.45,QUAD022-B,2,left_cheek,1,no
E092,TRI049,triangle,left_cheek,yes,1,P041,P043,24.83,QUAD027-B,3,left_cheek,1,no
E173,TRI049,triangle,left_cheek,yes,2,P043,P044,42.94,TRI050,1,left_cheek,1,no
E172,TRI049,triangle,left_cheek,yes,3,P044,P041,44.96,TRI048,2,left_cheek,1,no
E173,TRI050,triangle,left_cheek,yes,1,P043,P044,42.94,TRI049,2,left_cheek,1,no
E174,TRI050,triangle,left_cheek,yes,2,P044,P046,49.58,,,,0,yes
E093,TRI050,triangle,left_cheek,yes,3,P046,P043,29.34,QUAD028-A,1,left_cheek,1,no
E175,TRI053,triangle,left_cheek,yes,1,P045,P046,41.05,,,,0,yes
E094,TRI053,triangle,left_cheek,yes,2,P046,P049,27.21,QUAD028-A,2,left_cheek,1,no
E176,TRI053,triangle,left_cheek,yes,3,P049,P045,43.89,TRI054,1,left_cheek,1,no
E176,TRI054,triangle,left_cheek,yes,1,P045,P049,43.89,TRI053,3,left_cheek,1,no
E177,TRI054,triangle,left_cheek,yes,2,P049,P052,58.81,TRI056,3,left_cheek,1,no
E178,TRI054,triangle,left_cheek,yes,3,P052,P045,51.35,TRI055,1,left_cheek,1,no
E178,TRI055,triangle,left_cheek,yes,1,P045,P052,51.35,TRI054,3,left_cheek,1,no
E179,TRI055,triangle,left_cheek,yes,2,P052,P053,60.61,,,,0,yes
E171,TRI055,triangle,left_cheek,yes,3,P053,P045,66.7,TRI047,2,left_cheek,1,no
E097,TRI056,triangle,left_cheek,yes,1,P049,P050,62.21,QUAD031-A,1,left_cheek,1,no
E101,TRI056,triangle,left_cheek,yes,2,P050,P052,57.48,QUAD032-A,1,left_cheek,1,no
E177,TRI056,triangle,left_cheek,yes,3,P052,P049,58.81,TRI054,2,left_cheek,1,no
E180,TRI057,triangle,left_cheek,yes,1,P050,P057,49.23,TRI058,1,left_cheek,1,no
E181,TRI057,triangle,left_cheek,yes,2,P057,P058,25.15,TRI061,2,bottom,1,no
E098,TRI057,triangle,left_cheek,yes,3,P058,P050,51.99,QUAD031-A,2,left_cheek,1,no
E180,TRI058,triangle,left_cheek,yes,1,P050,P057,49.23,TRI057,1,left_cheek,1,no
E020,TRI058,triangle,left_cheek,yes,2,P057,P060,50.71,MANQ007-A,2,bottom,1,no
E182,TRI058,triangle,left_cheek,yes,3,P060,P050,74.51,TRI059,1,back,1,no
E182,TRI059,triangle,back,yes,1,P050,P060,74.51,TRI058,3,left_cheek,1,no
E183,TRI059,triangle,back,yes,2,P060,P062,63.22,TRI062,1,back,1,no
E105,TRI059,triangle,back,yes,3,P062,P050,45.51,QUAD032-B,3,back,1,no
E083,TRI060,triangle,bottom,yes,1,P055,P056,24.78,QUAD023-B,2,bottom,1,no
E100,TRI060,triangle,bottom,yes,2,P056,P058,51.38,QUAD031-B,2,left_cheek,1,no
E184,TRI060,triangle,bottom,yes,3,P058,P055,40.32,TRI061,3,bottom,1,no
E185,TRI061,triangle,bottom,yes,1,P055,P057,54.27,,,,0,yes
E181,TRI061,triangle,bottom,yes,2,P057,P058,25.15,TRI057,2,left_cheek,1,no
E184,TRI061,triangle,bottom,yes,3,P058,P055,40.32,TRI060,3,bottom,1,no
E183,TRI062,triangle,back,yes,1,P060,P062,63.22,TRI059,2,back,1,no
E186,TRI062,triangle,back,yes,2,P062,P063,23.29,TRI063,1,back,1,no
E016,TRI062,triangle,back,yes,3,P063,P060,54.7,MANQ006-A,2,back,1,no
E186,TRI063,triangle,back,yes,1,P062,P063,23.29,TRI062,2,back,1,no
E187,TRI063,triangle,back,yes,2,P063,P064,53.98,TRI064,1,back,1,no
E104,TRI063,triangle,back,yes,3,P064,P062,49.58,QUAD032-B,2,back,1,no
E187,TRI064,triangle,back,yes,1,P063,P064,53.98,TRI063,2,back,1,no
E155,TRI064,triangle,back,yes,2,P064,P065,31.0,TRI035,2,back,1,no
E188,TRI064,triangle,back,yes,3,P065,P063,56.75,,,,0,yes
E112,TRI065,triangle,back,yes,1,P070,P071,23.29,QUAD036-B,2,back,1,no
E161,TRI065,triangle,back,yes,2,P071,P072,63.22,TRI040,2,back,1,no
E019,TRI065,triangle,back,yes,3,P072,P070,54.7,MANQ006-B,3,back,1,no
